Area Code,Area Name,Postcode_Area,Self-employment income: Number of individuals,Self-employment income: Mean,Self-employment income: Median,Employment income: Number of individuals,Employment income: Mean,Employment income: Median,Pension income: Number of individuals,Pension income: Mean,Pension income: Median,Total income: Number of individuals,Total income: Mean,Total income: Median
E06000047,County Durham UA,DH,16,19300 ,14100 ,169 ,28100 ,23500 ,68,18000 ,16100 ,224 ,29500 ,23700
E06000005,Darlington UA,DL,3,15900 ,11800 ,39 ,27600 ,22500 ,14,18000 ,15900 ,49 ,29600 ,23800
E06000001,Hartlepool UA,TS,3,21400 ,17100 ,29 ,27200 ,22600 ,10,16400 ,14600 ,37 ,28600 ,23200
E06000002,Middlesbrough UA,TS,4,18700 ,15700 ,43 ,26100 ,21900 ,14,18000 ,16000 ,55 ,28000 ,23300
E06000057,Northumberland UA,NE,14,22300 ,15000 ,110 ,29000 ,22700 ,60,19500 ,16700 ,161 ,31700 ,24000
E06000003,Redcar and Cleveland UA,TS,4,19000 ,16000 ,41 ,28500 ,22900 ,20,18400 ,17000 ,58 ,28600 ,22800
E06000004,Stockton-on-Tees UA,TS,5,22400 ,15400 ,65 ,30600 ,24500 ,21,19200 ,17500 ,82 ,32500 ,25300
E08000037,Gateshead,NE,5,18300 ,14000 ,69 ,28300 ,23300 ,24,16900 ,15500 ,88 ,28700 ,23300
E08000021,Newcastle upon Tyne,NE,8,25100 ,15000 ,89 ,29500 ,23700 ,31,18300 ,16300 ,115 ,31800 ,24200
E08000022,North Tyneside,NE,6,22500 ,14400 ,76 ,30600 ,24600 ,27,18800 ,17000 ,99 ,31400 ,25000
E08000023,South Tyneside,NE,4,17400 ,14300 ,46 ,27700 ,22900 ,15,16000 ,14700 ,58 ,29100 ,23800
E08000024,Sunderland,SR,7,17500 ,13300 ,90 ,26900 ,23200 ,30,16100 ,14800 ,113 ,27800 ,23100
E06000008,Blackburn with Darwen UA,BB,5,19900 ,17500 ,43 ,26300 ,22100 ,12,15400 ,14300 ,53 ,28300 ,22900
E06000009,Blackpool UA,FY,5,14400 ,12700 ,43 ,23600 ,20800 ,19,16000 ,15600 ,58 ,24900 ,21200
E06000049,Cheshire East UA,CW,21,25500 ,14700 ,151 ,38000 ,24500 ,65,22100 ,18300 ,207 ,41700 ,27000
E06000050,Cheshire West And Chester UA,CH,13,23600 ,13800 ,131 ,32600 ,24400 ,54,20600 ,17900 ,175 ,35600 ,25900
E06000006,Halton UA,WA,3,17500 ,13000 ,45 ,29600 ,24800 ,15,17300 ,16100 ,56 ,30500 ,24900
E06000007,Warrington UA,WA,8,22900 ,15500 ,84 ,32900 ,25100 ,27,19900 ,17200 ,107 ,35400 ,26300
E07000026,Allerdale,CA,4,19300 ,15800 ,31 ,30900 ,26400 ,13,18900 ,16400 ,43 ,32400 ,26200
E07000027,Barrow-in-Furness,LA,2,15700 ,13500 ,23 ,29600 ,26200 ,8,16800 ,15100 ,30 ,30400 ,26000
E07000028,Carlisle,CA,5,16500 ,14300 ,35 ,29000 ,24700 ,18,16400 ,15000 ,50 ,29600 ,24700
E07000029,Copeland,CA,2,12500 ,4410 ,26 ,33800 ,27300 ,11,17600 ,16500 ,34 ,33200 ,26000
E07000030,Eden,CA,5,15800 ,13100 ,21 ,27100 ,22100 ,11,19600 ,17000 ,31 ,29900 ,24700
E07000031,South Lakeland,LA,8,17700 ,13200 ,37 ,25600 ,20900 ,23,20600 ,17200 ,57 ,31300 ,23700
E08000001,Bolton,BL,9,23200 ,15800 ,85 ,28200 ,22900 ,29,17600 ,16200 ,113 ,30100 ,23100
E08000002,Bury,BL,8,22900 ,12700 ,67 ,29400 ,23900 ,23,18900 ,16700 ,87 ,32000 ,24700
E08000003,Manchester,M,16,21000 ,15100 ,171 ,28700 ,22900 ,24,16900 ,15300 ,197 ,30400 ,23500
E08000004,Oldham,OL,8,19500 ,15900 ,77 ,26300 ,22600 ,26,16600 ,15400 ,98 ,28100 ,23200
E08000005,Rochdale,OL,8,17400 ,14000 ,72 ,27600 ,23100 ,24,17100 ,15700 ,93 ,28500 ,23200
E08000006,Salford,M,10,21600 ,15900 ,96 ,29100 ,23800 ,20,16500 ,15000 ,115 ,31400 ,24600
E08000007,Stockport,SK,13,23500 ,15000 ,118 ,31700 ,25000 ,42,19600 ,17300 ,155 ,34300 ,26000
E08000008,Tameside,M,7,19300 ,15500 ,84 ,26600 ,23200 ,24,16100 ,15100 ,104 ,27700 ,23300
E08000009,Trafford,M,11,28000 ,14600 ,90 ,38700 ,26000 ,31,19500 ,15800 ,118 ,41900 ,27300
E08000010,Wigan,WN,12,17400 ,15500 ,118 ,27900 ,23800 ,38,16300 ,15200 ,151 ,28700 ,23800
E07000117,Burnley,BB,2,16600 ,12900 ,28 ,25500 ,21800 ,8,17500 ,16100 ,35 ,27300 ,22700
E07000118,Chorley,PR,4,20500 ,15600 ,47 ,29200 ,23300 ,18,18600 ,16600 ,63 ,31600 ,24100
E07000119,Fylde,FY,3,21200 ,12300 ,29 ,31200 ,23600 ,16,22000 ,19600 ,42 ,35100 ,25800
E07000120,Hyndburn,BB,2,15700 ,13400 ,27 ,25700 ,22500 ,7,16200 ,14500 ,33 ,27100 ,23000
E07000121,Lancaster,LA,6,20700 ,14600 ,45 ,28900 ,23100 ,18,18000 ,15100 ,62 ,30200 ,23600
E07000122,Pendle,BB,3,19900 ,14200 ,26 ,26100 ,21900 ,8,20300 ,18000 ,33 ,29200 ,22900
E07000123,Preston,PR,5,20200 ,16600 ,47 ,28600 ,22900 ,13,18100 ,17100 ,57 ,30900 ,24800
E07000124,Ribble Valley,BB,3,21700 ,15200 ,23 ,34500 ,25100 ,12,21600 ,18200 ,33 ,38900 ,28000
E07000125,Rossendale,BB,4,18300 ,14400 ,24 ,28300 ,23200 ,7,16500 ,13900 ,30 ,31000 ,25000
E07000126,South Ribble,PR,4,16600 ,14800 ,45 ,29400 ,23900 ,18,18400 ,16600 ,59 ,30700 ,24600
E07000127,West Lancashire,L,5,20400 ,13900 ,44 ,29400 ,22700 ,19,19000 ,16100 ,59 ,32900 ,24600
