,postcode_area,electricity_demand (kWh),No cars,1 car,2 cars,3 cars,4+ cars,Total Cars,prop_1_car,Driving a car or van,Passenger in a car or van,Age 16 to 74 Total,prop_driving,overall_kWh,Detached,Semi-detached,Terraced,Total\ Accommodation type,off_street_households,prop_off_street,Private rented - Unit : Households,Owned - Unit : Households,Total\ Tenure - Unit : Households,prop_rent,prop_own,Age : Age 18 to 55 - Sex : Males - Unit : Persons,Age : Age 18 to 55 - Sex : Females - Unit : Persons,Age : Total\ Age - Sex : Total\ Sex - Unit : Persons,prop_males_18_55,prop_females_18_55,Level 4 qualifications and above,Total,prop_high_edu,Total income: Median,log_demand,log_supply,log_1_car,log_driving,log_off_street,log_rent,log_own,log_males_18_55,log_females_18_55,log_high_edu,log_median_income
0,NW,1864242,105232.0,88258.0,28502.0,5836.0,1753.0,170550.0,0.5174904720023453,66947.0,4690.0,443608.0,0.1509147716001515,10475.4,13577.0,40070.0,34029.0,229581.0,87676.0,0.381895714366607,70295.0,95422.0,229581.0,0.30618822986222727,0.4156354402150004,140817.0,143794.0,591625.0,0.23801732516374394,0.2430492288189309,192545.0,474854.0,0.40548252726101075,38200.0,14.438365094126887,9.256784930218783,-0.6587641656017792,-1.8910400280048696,11.381403480703243,-1.1835552358761139,-0.8779467485732165,-1.435411813154429,-1.4144912684274862,-0.902677495723697,10.550590794594667
1,BS,1759644,84929.0,172644.0,107881.0,23540.0,8768.0,497998.0,0.34667609106863884,281557.0,23349.0,691662.0,0.40707310796313806,11940.1,75762.0,118633.0,108560.0,397762.0,302955.0,0.7616489257395126,73936.0,258698.0,397762.0,0.18587999859212292,0.6503838979087997,195157.0,192911.0,939706.0,0.20767878464115372,0.20528867539421905,228083.0,766028.0,0.29774760191533467,26150.0,14.380622073827174,9.387657762120902,-1.0593643901094352,-0.8987624832253837,12.621339558610599,-1.6826539823394777,-0.43019247826779367,-1.5717626975581034,-1.5833381177343178,-1.2115091247998677,10.171604469493069
2,GL,1664838,38371.0,92263.0,67450.0,15953.0,6025.0,302091.0,0.305414593615831,170823.0,13510.0,380662.0,0.4487524365447562,5438.5,63982.0,76361.0,44674.0,220062.0,185017.0,0.8407494251619998,34440.0,153426.0,220062.0,0.15650134961965265,0.6971944270251111,104629.0,104707.0,519792.0,0.20129013143719027,0.20144019146119987,128899.0,425201.0,0.30314839334808713,26500.0,14.325238379365695,8.601258566533906,-1.1860851020877088,-0.8012839095681911,12.128202991730552,-1.8546906452713652,-0.36069095873438134,-1.6030079716951424,-1.6022627582238835,-1.1935328463363102,10.184900011974314
3,NE,1628380,171565.0,218692.0,104056.0,19189.0,5439.0,508660.0,0.4299374827979397,311194.0,34253.0,880486.0,0.3534343533003364,19747.0,71068.0,198107.0,144983.0,518941.0,414158.0,0.7980830190715322,70650.0,309383.0,518941.0,0.13614264434685253,0.5961814541537477,234375.0,239990.0,1183120.0,0.19809909392115763,0.2028450199472581,235933.0,976636.0,0.2415772099328716,24000.0,14.303096213540941,9.89075686005731,-0.8441154697065119,-1.0400575158403522,12.934002822512548,-1.9940520874191312,-0.5172102049751818,-1.6189878991338382,-1.5953130400512687,-1.4205661471188558,10.085809109330082
4,B,1618692,214860.0,289967.0,155751.0,33512.0,10962.0,750508.0,0.38636097150196935,461608.0,42371.0,1280719.0,0.3604287903903979,10674.6,113012.0,260241.0,183672.0,705052.0,556925.0,0.7899062764164912,105988.0,428908.0,705052.0,0.15032650074037093,0.6083352717246387,357078.0,364918.0,1791828.0,0.199281404241925,0.20365682420410888,320790.0,1407421.0,0.22792753554195938,23900.0,14.29712897367224,9.275622366668784,-0.950983187174852,-1.0204608718925006,13.230185859933075,-1.8949456788010262,-0.497029115242065,-1.6130373614757358,-1.591318935976477,-1.4787275271156184,10.081633737919603
5,RG,1480519,50255.0,128508.0,110079.0,25831.0,9827.0,470245.0,0.27327882274133697,267014.0,18489.0,590794.0,0.45195787364123535,11408.3,100363.0,87727.0,78426.0,324500.0,266516.0,0.8213127889060092,49256.0,221611.0,324500.0,0.1517904468412943,0.6829306625577812,176154.0,176205.0,805903.0,0.2185796553679537,0.2186429384181471,221954.0,643863.0,0.3447224021259181,29400.0,14.20790325994363,9.342096439643512,-1.297262676275663,-0.7941663034020586,12.493189558309309,-1.8852543485352355,-0.3813619435138201,-1.520604775420946,-1.5203152979257994,-1.065015817359549,10.288749953326773
6,GU,1390608,31716.0,92597.0,80462.0,20166.0,7992.0,349696.0,0.2647928486456808,191044.0,12668.0,428875.0,0.44545380355581465,7422.2,76363.0,67069.0,43251.0,232933.0,186683.0,0.80144505072274,33627.0,163868.0,232933.0,0.14436340063451722,0.7034984308792657,124363.0,124413.0,587906.0,0.21153551758274283,0.2116205651923947,164754.0,473612.0,0.34786703039618927,32100.0,14.145251619542918,8.91223078817206,-1.3288074619090418,-0.8086617331701232,12.13716727021532,-1.9354215428590862,-0.3516896328789858,-1.5533623627614768,-1.5529603947205626,-1.0559349687878292,10.376611309118108
7,SE,1379167,210566.0,174336.0,43041.0,7666.0,2220.0,293430.0,0.5941314793988345,114227.0,7233.0,789888.0,0.14461164114406094,15532.5,14537.0,60861.0,110669.0,437829.0,186067.0,0.42497641773386413,99132.0,178301.0,437829.0,0.2264171628649541,0.4072388992049407,258346.0,262202.0,1051363.0,0.24572483528524403,0.2493924553175259,312088.0,836436.0,0.37311641297122555,31000.0,14.13699025169116,9.650689881937849,-0.5206546383235734,-1.9337034666606812,12.133862102887235,-1.4853761278189737,-0.8983552898090174,-1.4035429248511906,-1.3887274975268775,-0.9858648089125532,10.341742483467284
8,MK,1343774,34232.0,77240.0,54868.0,12404.0,4363.0,243726.0,0.3169132550487022,150529.0,13887.0,334014.0,0.45066673851994227,19219.1,52505.0,56842.0,45623.0,183107.0,154970.0,0.8463357490429093,29766.0,114103.0,183107.0,0.1625606885591485,0.6231493061434025,99321.0,100938.0,458484.0,0.2166291517261235,0.22015599235742142,102398.0,361416.0,0.2833244792704252,27000.0,14.11099263116373,9.863659855205217,-1.149127185931526,-0.7970271516096084,11.95098682878138,-1.8167038788778824,-0.4729691321767877,-1.5295683656314722,-1.5134189277212389,-1.261162468287958,10.203592144986466
9,EH,1247443,126088.0,160378.0,70156.0,12167.0,3524.0,352880.0,0.4544831104058037,263302.0,25526.0,517060.0,0.5092291030054539,5676.0,56234.0,68029.0,70002.0,372313.0,194265.0,0.5217787184438899,63331.0,228583.0,372313.0,0.17010150061910276,0.6139538506579142,222132.0,229331.0,827475.0,0.26844557237378774,0.27714553309767664,231946.0,687304.0,0.3374722102592157,25100.0,14.036606414181163,8.644002038279933,-0.7885945268783983,-0.6748572595616437,12.176978485325797,-1.7713599576374428,-0.4878355154547119,-1.315107095548931,-1.2832125205196099,-1.0862721120323684,10.130623125119875
